"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2AJ5SGM9","journalArticle","1967","Pittioni, Richard","Die Schmelzplätze Nr. 25 und Nr. 26 des Bergbaugebiets Jochberg bei Kitzbühel, Tirol","Archaeologia Austriaca","","","","","","1967","2017-01-19 09:35:31","2017-01-19 09:35:31","","44-47","","","41","","","Die Schmelzplätze Nr. 25 und Nr. 26 des Bergbaugebiets Jochberg bei Kitzbühel, Tirol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BFKWT3P","journalArticle","1949","Hild, Adolf","Die Urnenfelderkultur der Heidenburg bei Göfis, Vorarlberg","Prähistorische Zeitschrift","","","","","","1949","2017-01-19 09:35:29","2017-01-19 09:35:29","","272-287","","","34-35","","","Die Urnenfelderkultur der Heidenburg bei Göfis, Vorarlberg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BPHXIA3","book","1969","Dušek, M.","Bronzezeitliche Gräberfelder in der Südwestslovakei","","","","","","","1969","2017-01-19 10:40:55","2017-01-19 10:40:55","","","","","","","","Bronzezeitliche Gräberfelder in der Südwestslovakei","SAV Arch. Slovaca Tumus 4","","","","","Bratislava","","","","","","","","","","","","Bronze Age Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BT2ACWM","bookSection","2013","Mödlinger, Marianne","Bronze Age Metal Defensive Armour in Eastern Europe: Status Symbol and Symbolic Weapons only? Indications for the Usage as Weapons","Bronze Age Crafts and Craftsmen in the Carpathian Basin. Proceedings of the International Colloquium from Târgu Mureş 5-7 October 2012","","","","","","2013","2017-01-19 09:35:30","2017-01-19 09:35:30","","279-290","","","","","","Bronze Age Metal Defensive Armour in Eastern Europe: Status Symbol and Symbolic Weapons only? Indications for the Usage as Weapons","Seria Archaeologica","6","","","Editura MEGA","Târgu Mureş","","","","","","","","","","","","","","Rezi, Botond; Rita, E. Németh; Berecki, Sándor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2C9J4ABK","journalArticle","1956","Modrijan, Walter","Vor- und frühgeschichtliche Funde aus dem Bezirk Leoben (1. Teil)","Schild von Steier","","","","","","1956","2017-01-19 09:35:30","2017-01-19 09:35:30","","3-40","","","6","","","Vor- und frühgeschichtliche Funde aus dem Bezirk Leoben (1. Teil)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CM2MR8H","journalArticle","1957","Hell, Martin","Drei Funde der Bronzezeit aus dem inneralpinen Salzburg","Archaeologia Austriaca","","","","","","1957","2017-01-19 09:35:29","2017-01-19 09:35:29","","1-9","","","21","","","Drei Funde der Bronzezeit aus dem inneralpinen Salzburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DC9ST23","bookSection","1990","Plesl, Evžen","Zur Frage der Herausbildung der Urnenfelderkulturen","Beiträge zur Geschichte und Kultur der mitteleuropäischen Bronzezeit","","","","","","1990","2017-01-19 09:35:31","2017-01-19 09:35:31","","351-364","","","","","","Zur Frage der Herausbildung der Urnenfelderkulturen","","","","","Zentral Institut für Alte Geschichte und Archäologie der Deutschen, Akademie der Wissenschaften der DDR","Berlin","","","","","","","","","","","","","","Furmánek, V.; Horst, F.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EHF5NW8","bookSection","1987","Breddin, Rolf","Zum Urnengrab der Urnenfelder- und Lausitzer","Die Urnenfelderkulturen Mitteleuropas, Symposium Liblice 21. - 25. 10. 1985","","","","","","1987","2017-01-19 09:35:28","2017-01-19 09:35:28","","147-150","","","","","","Zum Urnengrab der Urnenfelder- und Lausitzer","","","","","Archäologisches Institut der Tschechoslowakischen Akademie der Wissenschaften","Praha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2G3GHQUV","journalArticle","1995","Jablonka, Peter","Die Siedlung auf der Gurina im Oberen Gailtal","Carinthia","","","","","","1995","2017-01-19 09:35:29","2017-01-19 09:35:29","","119-143","","1","185","","","Die Siedlung auf der Gurina im Oberen Gailtal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GNF49N7","journalArticle","1999","Neugebauer, Johannes-Wolfgang","Rettungsgrabungen im Unteren Traisental in den Jahren 1998 und 1999. 15. Vorbericht über die Aktivitäten der Abteilung für Bodendenkmale des Bundesdenkmalamtes im Raum St. Pölten - Traismauer","Fundberichte aus Österreich","","","","","","1999","2017-01-19 09:35:30","2017-01-19 09:35:30","","483-592","","","38","","","Rettungsgrabungen im Unteren Traisental in den Jahren 1998 und 1999. 15. Vorbericht über die Aktivitäten der Abteilung für Bodendenkmale des Bundesdenkmalamtes im Raum St. Pölten - Traismauer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2I8Q9CF7","journalArticle","1990","Breitinger, Emil","Infertilität als gesellschaftspsychologisches Problem in der Urnenfelderzeit","Forschungen in Stillfried","","","","","","1990","2017-01-19 09:35:28","2017-01-19 09:35:28","","41-74","","","9-10","","","Infertilität als gesellschaftspsychologisches Problem in der Urnenfelderzeit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JD32CVJ","book","1993","Gyulai, F.","Environment and agriculture in Bronze Age Hungary","","","","","","","1993","2017-01-19 10:40:56","2017-01-19 10:40:56","","","","","","","","Environment and agriculture in Bronze Age Hungary","Archaeolingua Series Minor 4","","","","Archaeolingua","Budapest","","","","","","","","","","","","Bronze Age Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JM5XK2J","book","1927","Panholzer, Joseph","Die bronzezeitlichen und hallstattzeitlichen Depotfunde in Österreich. Seperatbeilage zum Jahresbericht des Schuljahres 1927/28 des Oberrealschule Waidhofen a. d. Taya, N.-Ö.","","","","","","","1927","2017-01-19 09:35:31","2017-01-19 09:35:31","","","","","","","","Die bronzezeitlichen und hallstattzeitlichen Depotfunde in Österreich. Seperatbeilage zum Jahresbericht des Schuljahres 1927/28 des Oberrealschule Waidhofen a. d. Taya, N.-Ö.","","","","","Landes-Ober-Realschule","Gaß","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KZDQUHJ","bookSection","1988","Fuchs, Gerald","Die Ausgrabungen auf dem Kathreinkogel, Gem. Schiefling am See, Kärnten","100 Jahre Ausgrabungen im hallstattzeitlichen Gräberfeld von Frög, Gemeinde Rosegg, in Kärnten","","","","","","1988","2017-01-19 09:35:28","2017-01-19 09:35:28","","109-119","","","","","","Die Ausgrabungen auf dem Kathreinkogel, Gem. Schiefling am See, Kärnten","Archäologie Alpen - Adria","1","","","Historischer Verein Schiefling - Velden - Rosegg","Klagenfurt","","","","","","","","","","","","","","Fuchs, Manfred","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2N8PTS3S","book","2003","Windholz-Konrad, Maria","Funde entlang der Traun zwischen Ödensee und Hallstätter See. Vorlage der prähistorischen bis neuzeitlichen Metallfunde aus den von Karl Gaisberger und Mitarbeitern vorgenommenen Prospektionen im Salzkammergut, mit besonderer Berücksichtigung der Altfunde","","","","","","","2003","2017-01-19 09:35:32","2017-01-19 09:35:32","","","","","","","","Funde entlang der Traun zwischen Ödensee und Hallstätter See. Vorlage der prähistorischen bis neuzeitlichen Metallfunde aus den von Karl Gaisberger und Mitarbeitern vorgenommenen Prospektionen im Salzkammergut, mit besonderer Berücksichtigung der Altfunde","Fundberichte aus Österreich, Materialhefte, Reihe A","13","","","Berger","Horn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NES7PI4","book","1976","Strobel, August","Der spätbronzezeitliche Seevölkersturm. Ein Forschungsüberblick mit Folgerungen zur biblischen Exodusthematik","","","","","","","1976","2017-01-19 09:35:32","2017-01-19 09:35:32","","","","","","","","Der spätbronzezeitliche Seevölkersturm. Ein Forschungsüberblick mit Folgerungen zur biblischen Exodusthematik","Beihefte zur Zeitschrift für die alttestamentliche Wissenschaft","145","","","De Gruyter","Berlin/New York","","","","","","","","","","","","","","","Fohrer, Georg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PD7RWBK","journalArticle","1995","Schütz-Tillmann, Cornelia","Ein seltenes Fundensemble der Urnenfelderzeit von Münchsmünster","Das archäologische Jahr in Bayern","","","","","","1995","2017-01-19 09:35:31","2017-01-19 09:35:31","","56-58","","","1995","","","Ein seltenes Fundensemble der Urnenfelderzeit von Münchsmünster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PMD6F4M","bookSection","1987","Bahn, Bernd W.","Neue urnenfelderzeitliche Gräberfelder im Erfurter Raum","Die Urnenfelderkulturen Mitteleuropas, Symposium Liblice 21. - 25. 10. 1985","","","","","","1987","2017-01-19 09:35:28","2017-01-19 09:35:28","","129-138","","","","","","Neue urnenfelderzeitliche Gräberfelder im Erfurter Raum","","","","","Archäologisches Institut der Tschechoslowakischen Akademie der Wissenschaften","Praha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PUCKNP2","journalArticle","1952","Pittioni, Richard","Das Brandgrab vom Lebenberg bei Kitzbühel, Tirol","Archaeologia Austriaca","","","","","","1952","2017-01-19 09:35:31","2017-01-19 09:35:31","","53-60","","","10","","","Das Brandgrab vom Lebenberg bei Kitzbühel, Tirol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RCUKR8B","journalArticle","1978","Vonbank, Elmar","Das Bodensee-Rheintal als ur- und frühgeschichtliche Weg- und Siedlungslandschaft","Helvetia Archaeologica","","","","","","1978","2017-01-19 09:35:32","2017-01-19 09:35:32","","235-250","","","34-36","","","Das Bodensee-Rheintal als ur- und frühgeschichtliche Weg- und Siedlungslandschaft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TEKVAZP","bookSection","1966","Hell, Martin","Brandgrab der Urnenfelderzeit von Schernberg bei Schwarzach im Pongau, Salzburg","Jahresbericht 1965/II","","","","","","1966","2017-01-19 09:35:29","2017-01-19 09:35:29","","15-22","","","","","","Brandgrab der Urnenfelderzeit von Schernberg bei Schwarzach im Pongau, Salzburg","Jahresschrift Salzburger Museum Carolino Augusteum","11","","","Salzburger Museum Carolino Augusteum","Salzburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2U5DUIP9","journalArticle","1985","Erbach-Schönberg, Monika-Cytha","Bemerkungen zu urnenfelderzeitlichen Deponierungen in Oberösterreich","Archäologisches Korrespondenzblatt","","","","","","1985","2017-01-19 09:35:28","2017-01-19 09:35:28","","163-178","","","15","","","Bemerkungen zu urnenfelderzeitlichen Deponierungen in Oberösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UWMZRHF","bookSection","1968","Modrijan, Walter","Die Erforschung des vor- und frühgeschichtlichen Berg- und Hüttenwesens und die Steiermark","Der Bergmann - Der Hüttenmann. Gestalter der Steiermark; Katalog der 4. Landesausstellung 1968","","","","","","1968","2017-01-19 09:35:30","2017-01-19 09:35:30","","41-87","","","","","","Die Erforschung des vor- und frühgeschichtlichen Berg- und Hüttenwesens und die Steiermark","","","","","Kulturreferat der Steiermärkischen Landesregierung","Graz","","","","","","","","","","","","","","Waidacher, Friedrich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VE78W4P","thesis","1989","Wewerka, Barbara","Urnenfelderzeitliche Siedlungsbefunde von Thunau bei Gars am Kamp. Die obere Holzwiese. Grabungsergebnisse bis 1977","","","","","","","1989","2017-01-19 09:35:32","2017-01-19 09:35:32","","","","","","","","Urnenfelderzeitliche Siedlungsbefunde von Thunau bei Gars am Kamp. Die obere Holzwiese. Grabungsergebnisse bis 1977","","","","","Universität Wien","Wien","","","Dissertation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VSJIKMB","book","1998","Pare, Christopher F. E.","Beiträge zum Übergang von der Bronze- zur Eisenzeit in Mitteleuropa. Teil I. Grundzüge der Chronologie im östlichen Mitteleuropa (11.-8. Jahrhundert v. Chr.)","","","","","C:\Katharina\Literature\Articles PDF\Pare 1999 Chronologie west.pdf","","1998","2017-01-19 09:35:32","2017-01-19 09:35:32","","","","","","","","Beiträge zum Übergang von der Bronze- zur Eisenzeit in Mitteleuropa. Teil I. Grundzüge der Chronologie im östlichen Mitteleuropa (11.-8. Jahrhundert v. Chr.)","Jahrbuch des Römisch-Germanischen Zentralmuseums Mainz, Sonderdruck","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WCBBSQX","bookSection","1942","Pittioni, Richard","Gräber der Urnenfelderkultur aus Baumgarten am Tullnerfeld, Lkr. Tulln","Stein- und bronzezeitliche Funde aus Niederdonau","","","","","","1942","2017-01-19 09:35:31","2017-01-19 09:35:31","","19-27","","","","","","Gräber der Urnenfelderkultur aus Baumgarten am Tullnerfeld, Lkr. Tulln","Niederdonau, Natur und Kultur","21","","","Kühne","Wien","","","","","","","","","","","","","","Pittioni, Richard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"329U7M7R","bookSection","1974","Jockenhövel, Albrecht","Ein reich verziertes Protovillanova-Rasiermesser (Ein Beitrag zum urnenfelderzeitlichen Symbolgut)","Beiträge zu italienischen und griechischen Bronzefunden.","","","","http://miami.uni-muenster.de/servlets/DerivateServlet/Derivate-5502/1974_jocke_rasie.pdf","","1974","2017-01-19 09:35:29","2017-01-19 09:35:29","","81-88","","","","","","Ein reich verziertes Protovillanova-Rasiermesser (Ein Beitrag zum urnenfelderzeitlichen Symbolgut)","Prähistorische Bronzefunde","Abteilung 20, 1","","","Beck","München","","","","","","","","","","","","","","Müller-Karpe, H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34AFZHIZ","thesis","1966","Eibner, Clemens","Beigaben- und Bestattungssitten der frühen Urnenfelderkultur in Süddeutschland und Österreich","","","","","","","1966","2017-01-19 09:35:28","2017-01-19 09:35:28","","","199 Bl.","","","","","Beigaben- und Bestattungssitten der frühen Urnenfelderkultur in Süddeutschland und Österreich","","","","","Universität Wien","Wien","","","Dissertation","","","","","eingereicht von Clemens Eibner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34EWU6XC","bookSection","1995","Erbach, M. zu","Stand und Aufgaben der Urnenfelderforschung in Oberösterreich","Beiträge zur Urnenfelderzeit nördlich und südlich der Alpen. Ergebnisse eines Kolloquiums","","","","","","1995","2017-01-19 09:35:28","2017-01-19 09:35:28","","307-322","","","","","","Stand und Aufgaben der Urnenfelderforschung in Oberösterreich","Monographien RGZM 35","","","","","Bonn","","","","","","","","","","","","","","Erbach, M. zu; et al.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34UGW3EI","bookSection","1995","Neugebauer, Johannes-Wolfgang","Ausgewählte jungsteinzeitliche und metallzeitliche Fundkomplexe im Weinstadtmuseum von Krems an der Donau","Archäologie Österreichs. Sonderausgabe","","","","","","1995","2017-01-19 09:35:30","2017-01-19 09:35:30","","26-34","","","","","","Ausgewählte jungsteinzeitliche und metallzeitliche Fundkomplexe im Weinstadtmuseum von Krems an der Donau","","6","","","","Wien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35K4MJPC","journalArticle","1948","Ladenbauer-Orel, Hertha","Grabfunde der Hallstattzeit von Guntramsdorf bei Wien","Archaeologia Austriaca","","","","","","1948","2017-01-19 09:35:30","2017-01-19 09:35:30","","81-","","","1","","","Grabfunde der Hallstattzeit von Guntramsdorf bei Wien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35QUXUGF","journalArticle","1928","Bayer, Josef","Ein jungbronzezeitliches Brandgrab bei Nieder-Russbach, Ger. Bez. Stockerau, Niederösterreich","Mitteilungen der Anthropologischen Gesellschaft in Wien","","","","","","1928","2017-01-19 09:35:28","2017-01-19 09:35:28","","332-333","","","58","","","Ein jungbronzezeitliches Brandgrab bei Nieder-Russbach, Ger. Bez. Stockerau, Niederösterreich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36QP6AG4","book","1976","","Bärnbach – Heiliger Berg: Urnenfelderzeitliche Siedlung","","","","","","","1976","2017-01-19 09:35:30","2017-01-19 09:35:30","","","","","","","","Bärnbach – Heiliger Berg: Urnenfelderzeitliche Siedlung","Schild von Steier. Kleine Schriften","17","","","Phoibos Verlag","Graz","","","","","","","","","","","","","","Modrijan, Walter; Burböck, Odo; Ebner, Fritz; Kramer, Diether","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37NP9T37","journalArticle","1989","Kalicz-Schreiber, R.","Die älteste Bronzezeit in Nordwestungarn und ihre Beziehungen","Praehistorica","","","","","","1989","2017-01-19 10:40:55","2017-01-19 10:40:55","","249-259","","","15","","","Die älteste Bronzezeit in Nordwestungarn und ihre Beziehungen","","","","","","","","","","","","","","","","","","Bronze Age Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37U3IWMV","journalArticle","1991","Tillmann, Andreas","Gräber der Urnenfelderkultur bei Weichering","Das archäologische Jahr in Bayern","","","","","","1991","2017-01-19 09:35:32","2017-01-19 09:35:32","","74","","","1991","","","Gräber der Urnenfelderkultur bei Weichering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38BTBDSW","bookSection","1987","Plesl, Evžen","Die Urnenfelderkulturen Böhmens. Der gegenwärtige Forschungsstand und seine Entwicklung","Die Urnenfelderkulturen Mitteleuropas, Symposium Liblice 21. - 25. 10. 1985","","","","","","1987","2017-01-19 09:35:31","2017-01-19 09:35:31","","151-160","","","","","","Die Urnenfelderkulturen Böhmens. Der gegenwärtige Forschungsstand und seine Entwicklung","","","","","Archäologisches Institut der Tschechoslowakischen Akademie der Wissenschaften","Praha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38SGMIP5","thesis","1990","Kanelutti, Erika","Slawen- und urnenfelderzeitliche Säugetiere von Thunau bei Gars am Kamp (Niederösterreich)","","","","","","","1990","2017-01-19 09:35:29","2017-01-19 09:35:29","","","","","","","","Slawen- und urnenfelderzeitliche Säugetiere von Thunau bei Gars am Kamp (Niederösterreich)","","","","","Universität Wien","","","","Dissertation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A473N9W","journalArticle","1974","Hartyányi, B.; Nováki, P.","Növényi mag- és termésleletek magyarországon az újkőkortól a XVIII. századig II","Magyar Mezőgazdasági Múzeum Közleményei","","","","","","1974","2017-01-19 10:40:55","2017-01-19 10:40:55","","23-73","","","1973-1974","","","Növényi mag- és termésleletek magyarországon az újkőkortól a XVIII. századig II","","","","","","","","","","","","","","","","","","Bronze Age Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A4J8RPJ","journalArticle","1960","Bóna, I.","The Early Bronze Age urn cemetery at Kulcs and the Kulcs-group of the Nagyrév Culture","Alba Regia","","","","","","1960","2017-01-19 10:40:55","2017-01-19 10:40:55","","1-15","","1","","","","The Early Bronze Age urn cemetery at Kulcs and the Kulcs-group of the Nagyrév Culture","","","","","","","","","","","","","","","","","","Bronze Age Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AX4ST39","bookSection","1992","Moosleitner, Fritz","Saalfelden in ur- und frühgeschichtlicher Zeit","","","","","","","1992","2017-01-19 09:35:30","2017-01-19 09:35:30","","52-64","","","","","","Saalfelden in ur- und frühgeschichtlicher Zeit","","","","","Marktgemeinde Saalfelden","Saalfelden","","","","","","","","","","","","","","Eder, Alois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
